SOLD DATE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE,sale_year,sale_month,sale_dayofweek,sale_quarter,sqft_bin,age_at_sale,log_price,log_square_feet,log_lot_size
2023-11-20,8700 Paseo De Valencia St,Fort Myers,33908.0,800000.0,4.0,3.5,Beverly Hills,2936.0,7971.0,2004.0,272.0,316.0,26.5154119,-81.9068475,2023.0,11.0,Monday,4.0,2000-2999,19.0,13.592368256649284,7.98514393119862,8.983690681332686
2020-11-20,1988 Winding Oaks Way,Naples,34109.0,735000.0,3.0,3.0,Hawthorne Estates,2486.0,8712.0,1997.0,296.0,352.0,26.2667993,-81.7773734,2020.0,11.0,Friday,4.0,2000-2999,23.0,13.507627138738266,7.818832443803404,9.072571442231286
2022-05-09,10422 Materita Dr,Fort Myers,33913.0,550000.0,2.0,2.0,Materita,1581.0,7492.0,2011.0,348.0,227.0,26.5969677,-81.7724284,2022.0,5.0,Monday,2.0,1000-1999,11.0,13.217675375388819,7.366445148327599,8.92172453036431
2021-09-07,9541 River Otter Dr,Fort Myers,33912.0,450500.0,4.0,3.0,Reflection Isles,2032.0,9029.0,2015.0,222.0,324.0,26.5855217,-81.7981454,2021.0,9.0,Tuesday,3.0,2000-2999,6.0,13.018115575783893,7.617267813628347,9.108307646411031
2023-11-21,8698 Paseo De Valencia St,Fort Myers,33908.0,495000.0,4.0,2.5,Beverly Hills,2632.0,10323.0,2003.0,188.0,316.0,26.5156045,-81.9068191,2023.0,11.0,Tuesday,4.0,2000-2999,20.0,13.112315061750808,7.87587915949631,9.242226560838505
2023-08-14,4846 Europa Dr,Naples,34105.0,699000.0,3.0,3.0,World Tennis Center,1949.0,653.0,2006.0,359.0,451.0,26.2032831,-81.7619992,2023.0,8.0,Monday,3.0,1000-1999,17.0,13.457407451830088,7.575584651557793,6.483107351457199
2022-02-17,1105 SE 3rd St,Cape Coral,33990.0,380000.0,3.0,2.0,Cape Coral,1400.0,10018.0,1985.0,271.0,2.0,26.6468067,-81.9521255,2022.0,2.0,Thursday,1.0,1000-1999,37.0,12.847929163278053,7.244941546337007,9.212238569259263
2022-02-28,1956 Timarron Way,Naples,34109.0,970000.0,3.0,3.0,Timarron,2100.0,6969.0,1999.0,462.0,498.0,26.256509,-81.7754407,2022.0,2.0,Monday,1.0,2000-2999,23.0,13.785052381406869,7.650168700845001,8.84937050375457
2024-03-08,9307 Lennex Ln,Fort Myers,33919.0,165000.0,1.0,1.0,Compass Pointe Villas,683.0,1045.0,1982.0,242.0,189.0,26.549486,-81.908147,2024.0,3.0,Friday,1.0,0-999,42.0,12.013706813470414,6.52795791762255,6.952728644624869
2021-03-15,7424 Key Deer Ct,Fort Myers,33966.0,300000.0,3.0,2.0,Casa Del Lago,1735.0,7405.0,2005.0,173.0,277.0,26.5751393,-81.8314031,2021.0,3.0,Monday,1.0,1000-1999,16.0,12.611541086966115,7.459338895220296,8.910045761473558
